name,state,city,address,latitude,longitude,type,station_id,type_label
Eesl Chelmsford Club,Delhi,Delhi,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.61826041,77.21256986,16,eesl chelmsford club_28.61826_77.21257,DC_high_power
Mg Delhi Shivaji Marg,Delhi,New Delhi,PLOT NO 13 SHIVAJI MARG DELHI 110015 NEW DELHI,28.66196,77.152242,20,mg delhi shivaji marg_28.66196_77.15224,Ultra_fast
Mg Delhi Lajpat Nagar,Delhi,New Delhi,"A-14, Ring Road, Lajpat nagar, Delhi 110024",28.564863,77.236743,20,mg delhi lajpat nagar_28.56486_77.23674,Ultra_fast
Bses Rapid Charging Zone,Delhi,Patparkang,"Narwana,Patparkang road,I-P Extension",28.62145,77.293556,14,bses rapid charging zone_28.62145_77.29356,
Bses Rapid Charging Zone,Delhi Ncr,Patparkang,"Narwana,Patparkang road,I-P Extension",28.62145,77.293556,14,bses rapid charging zone_28.62145_77.29356,
Mg Delhi Shivaji Marg,Delhi Ncr,New Delhi,PLOT NO 13 SHIVAJI MARG DELHI 110015 NEW DELHI,28.66196,77.152242,20,mg delhi shivaji marg_28.66196_77.15224,Ultra_fast
Mg Delhi Lajpat Nagar,Delhi Ncr,New Delhi,"A-14, Ring Road, Lajpat nagar, Delhi 110024",28.564863,77.236743,20,mg delhi lajpat nagar_28.56486_77.23674,Ultra_fast
Eesl Chelmsford Club,Delhi Ncr,Delhi,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.61826041,77.21256986,8,eesl chelmsford club_28.61826_77.21257,Public_AC
Eesl Chelmsford Club,Delhi Ncr,Delhi,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.61826041,77.21256986,8,eesl chelmsford club_28.61826_77.21257,Public_AC
U00C2U00A0Eesl Sushma Swaraj Bhawan,Delhi Ncr,Delhi,"Susma swaraj Bhawan, MEA, New Delhi",28.59583333,77.18055556,8,u00c2u00a0eesl sushma swaraj bhawan_28.59583_77.18056,Public_AC
